질문,디렉토리
0,주민등록등본 발급,주민등록증 발급
1,강동구청역 근처 등본,가족관계 증명민원
2,서울시 대학생 알바지금 뽑나어??,서울특별시
3,신분증없이 신분증 재발급 받아야하는데 우...,주민등록증 발급
4,주민등록증을 6월에 재발급한다고 신청해놓...,"가족, 개인 민원"
5,주민등록증에대해,주민등록증 발급
6,주민등록증 발급,주민등록증 발급
7,주민등록증 발급기간,제신고 민원
8,주민등록증 발급,주민등록증 발급
9,동사무소에서도 성적증명서 팩스 받을 수...,사무지원
10,동사무소에서도 성적증명서 팩스 받을 수...,"민원, 행정"
11,보건증 재발급 질문이요,의료보건제도
12,보건증 받을때,의료보건제도
13,폭식증 보건소에서 치료가 가능한가요,정신건강의학과
14,택시 요금 질문이요,택시
15,택시 질문 이요,택시
16,보건증 검사받고 안받으러 갔을때,의료보건제도
17,은평구에서 홍대입구역 걸리는 시간,서교동
18,서울 #LED축제 하는 곳 없나요? 아니면...,서울특별시
19,지화철노선도,강동구
20,무인발급기 질문,"민원, 행정"
21,다른 지역 주민센터에서 민증 재발급 가능...,"가족, 개인 민원"
22,동사무소 무인발급기,사무지원
23,보건증발급,제신고 민원
24,고등학생 등본,의료보건제도
25,보건증 발급,의료보건제도
26,보건소 보건증,의료보건제도
27,보건증 뽑는곳,의료보건제도
28,보건증 발급,의료보건제도
29,압구정로데오역,압구정동
30,건물번호좀 알려주세요~,기타
31,350번 타고 안경 분실,서초구
32,서초17번에서 안경을 잃어버렸어요,서초구
33,몰라서 알려주세요,"학사 행정, 제도"
34,"구로보건소에서 a,b,c형 간염검사 가능할까...",구로동
35,도로명 건물번호,부산광역시
36,지금 촛불집회 가려는데..,"지하철, 전철"
37,화장실 변기,"청소, 수리"
38,꿈나무카드 가맹점,광진구
39,구로2동 쓰레기배출일이 언제인지 알수있을...,구로동
40,반포한강공원에서 폭죽놀이해도되나요?,국내여행
41,한강 주차장 주말에 무료 인가요 ?,자동차
42,1.서울시 영등포구 영등포동 4가 153-1 덕...,우편택배
43,보건지소 보건증 발급여부,신림동
44,망우본동 공구대여 문의입니다.,"청소, 수리"
45,동사무소 무인발급기에서 졸업예정증명서...,고등학교교육
46,강서구청아르바이트 언제모집공지하나요??,기타
47,강서구청 2017 겨울 아르바이트 모집 언제...,기타
48,아르바이트 보건증,아르바이트
49,보건소 건강검진하면 암도 발견이 되나요,"의료기관, 의료인"
50,청소년 보건증 발급,아르바이트
51,보건증이요,의료보건제도
52,보건소 처방전,의약품
53,화곡보건분소에서 보건증 발급받을 수 있나...,의료보건제도
54,여성안심택배보관함 위치,등촌동
55,수유역 버스 막차시간,수유동
56,서울 보건소 야간진로,서울특별시
57,주민등록번호 변경 관련 추가 질문,주민등록증 발급
58,수고가 많으십니다. 주소지 이전 관련 문의...,기타
59,무인민원발급기애 보건증뽑을수잇나요 참고...,의료보건제도
60,여권 사진으로 주민등록증 발급 가능한가요...,영화
61,청량리역에서 신대방삼거리역 막차 시간,청량리동
62,서울2호선 막차 ㅜㅠ,"교통, 길찾기"
63,동대문구에서꿈나무카드릉쓰고있는데노원구...,"쇼핑몰, 시장"
64,무인민원발급기,"가족, 개인 민원"
65,직구상품 주문때문에 도로명주소를 쓰라는...,네이버사용법
66,서울시 마포구 애오개역쪽에서 구로구 궁동...,서울여행
67,보건증!!,의료보건제도
68,구청에서 주민 등록 가능한가요?,"민원, 행정"
69,보건증 발급,주민등록증 발급
70,보건증발급,의료보건제도
71,보건증 재발급때문인데요 꼭 검사를 받은곳...,의료보건제도
72,강서보건소 보건증,"의료기관, 의료인"
73,보건소에서 건강검진 되나요? 회사에서 했...,의료보건제도
74,보건소 결핵검사도 비용이 발생하나요?,의료보건제도
75,보건증 친구에게 빌려줄시,의료보건제도
76,보건증 재발급,의료보건제도
77,여의도 야시장~~,여의도동
78,새벽 1시쯤 철산역 7호선에서 외대역 1호선...,서울특별시
79,종량제봉투 50L 가격!!,서울특별시
80,월곡역이나 상월곡역에서 길음역 버스,"시내, 광역 버스"
81,보건증 발급,의료보건제도
82,롯데월드 가는법,송파구
83,보건증 주소,"민원, 행정"
84,아이핀 발급 질문,주민등록증 발급
85,주민센터 아이핀 발급 문의,개인정보보호
86,주민등록증 벌금,주민등록증 발급
87,주민등록증 발급기간,주민등록증 발급
88,지하철 막차,"교통, 길찾기"
89,신생아 무료접종,의료보건제도
90,청담역에서 홍대입구까지 버스노선 어떻게...,제신고 민원
91,임시청소년증 발급,주민등록증 발급
92,보건증 발급 신분증 없을때,주민등록증 발급
93,건강검진에서 b형간염항체음성이 나왔는데,의료보건제도
94,보건증 질문이요!,의료보건제도
95,보건증 검사비,의료보건제도
96,수유역에서  회룡역방향 첫버스중 가장먼저...,수유동
97,신사역 -> 봉천역 주말 막차시간,신사동
98,택시요금 질문드려요,행신동
99,주민등록번호 변경 관련 추가 질문입니다,주민등록증 발급
100,여권대리발급에 필요한 것,제신고 민원
101,여권만드는법,"여권, 비자 민원"
102,이번에  서울광장에  스케이트장하나요???,서울특별시
103,서대문구 홍제2동 주민센터 공구대여,홍제동
104,녹번동 주민센터 공구 대여,녹번동
105,잠실에서 조치원까지 가는 방법 좀 알려주...,"기차, KTX"
106,지하철시간,"교통, 길찾기"
107,층간소음 방법 알려주세요 제발 ㅜㅜ.. 미...,"부동산, 건축 민원"
108,동사무소 아이핀,제신고 민원
109,보건증 발급 검사,의료보건제도
110,보건증 재발급 및 검사,의료보건제도
111,여권 사진 질문,"여권, 비자 민원"
112,주민등록증 미발급 과태료요ㅠㅠ,"대학 입시, 진학"
113,알바보건증,아르바이트
114,보건증 발급,"의료기관, 의료인"
115,유효기간남은여권 재발급관련질문,"여권, 비자 민원"
116,임시신분증 발급 안내,주민등록증 발급
117,성인병 예방접종 주사 가격,의료보건제도
118,보건소 인바디 검사,의료보건제도
119,홍대에서 성남 남한산성입구역 택시비 질문...,서교동
120,선릉역에서 봉천역까지 택시비 얼마 입니까...,역삼동
121,혼인신고나이,제신고 민원
122,전입신고 및 세대주변경,부동산
123,주민등록상 생년월일 변경하기,주민등록증 발급
124,질문좀 드립니다,의료상담
125,민증고지서,주민등록증 발급
126,보건증발급,의료보건제도
127,배방역에서 광화문광장가려는데전철노선좀...,강남역
128,서울고속버스터미널서 광화문광장 가는 방...,"정당, 사회단체"
129,지하철 막차 질문이요 ㅠㅠㅠ,"교통, 길찾기"
130,마이핀 동사무소 발급,사무지원
131,송파구청 여권 긴급발급 아직도 되나요??,"여권, 비자 민원"
132,민증 7일지낫는데...,사람과 그룹
133,보건소 암검사,암센터
134,민증만들때,고등학교교육
135,보건소 B형간염 예방접종,의료보건제도
136,보건소 결핵검사,호흡기내과
137,여권 질문입니다,"여권, 비자 민원"
138,주민등록증,제신고 민원
139,여권 발급 보호자동의,병역
140,1998년 1월 생일인데 여권 성인걸로 만들수...,해외여행
141,송파구 보건소 보건증 질문이요,의료보건제도
142,보건소에 보건증 만들때 신분증으로 여권...,의료보건제도
143,개명을 했는데,"가족, 개인 민원"
144,민증 과태료 ㅠㅠ 급해요 도와주세요,제신고 민원
145,마들에서 고척 스카이돔 가는법,고척동
146,창동 야시장이요,창동
147,구로구민회관 여성안심보관함 제일 큰 보관...,구로동
148,서울 보건증 발급,광진구
149,다른 사람의 출입국사실증명서를 동의없이...,기타
150,주민등록증 발급나이,제신고 민원
151,도로명 주소 알려주세요,네이버사용법
152,티머니 교통카드,"교통, 길찾기"
153,호적정정(호적생일과 주민등록 생일상이),"가족, 이혼"
154,청소년증 발급,주민등록증 발급
155,상봉동에서 버스로 광화문가는법,상봉동
156,개명하는방법,"가족, 개인 민원"
157,개명신고후 처리완료문자가 안와요,가족관계 증명민원
158,보건증 등본,의료보건제도
159,"제가 개명허가후 이런저런일로 신고를,",제신고 민원
160,민증발급하기,가족
161,강북보건소 토요일 운영 하나요?,의료보건제도
162,여성안심택배지 비밀번호 안옴,우편택배
163,송파 보건소 임신확인서,의료보건제도
164,보건증 발급,의료보건제도
165,집 주소 변경 방법,"민원, 행정"
166,실업급여 도중 공공근로 신청,"직업, 취업"
167,취업용 건강진단서,"가족, 개인 민원"
168,보건증 발급,형사사건
169,송파보건소 타지역주민 보건증 발급,"인천, 경기도 여행"
170,보건증 검사받고2주지낫는데요,의료보건제도
171,보건소에서 검사 후 보건지소에서 결과지...,의료보건제도
172,상계역에서 인덕대,상계동
173,이수역에서 한티역 택시요금비는 얼마정도...,서울특별시
174,"광진구 자양동 캔,병 분리수거는 어떻게하...","청소, 수리"
175,미성년자 여권 발급,"여권, 비자 민원"
176,보건증인터넷으로도 뽑을수있나요???,의료보건제도
177,지하철 1호선 남영역에서 월계역가는 막차...,"교통, 길찾기"
178,꿈나무카드,그래픽카드
179,서울시 강서구 공항동 55-24,서울여행
180,동사무소등본,주민등록증 발급
181,아르바이트 보건증이 왜 필요한건가요? 유...,아르바이트
182,여권 발급,"여권, 비자 민원"
183,보건증등본,아르바이트
184,여권만들때,주민등록증 발급
185,만 18세 여권 만들기,"여권, 비자 민원"
186,여권사진사진,"여권, 비자 민원"
187,잠실역 2호선 첫차,제신고 민원
188,개명 주민사진,주민등록증 발급
189,긴급)사는 지역과 신차 차량등록 지역이 다...,교통민원
190,보건증땔떼 학생증.부모님신분증.등본,의료보건제도
191,보건소에서검사받고보건증동사무소에서도발...,의료보건제도
192,신촌에 오늘 8시까지 하는 내과나 이비인후...,신촌동
193,서울시청안에,서울여행
